Rank,Release Group,Worldwide,Domestic,%,Foreign,%
123,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
124,Only,"$125,603",-,-,"$125,603",100%
125,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
126,Come to Daddy,"$117,947","$96,713",82%,"$21,234",18%
127,Irresistible,"$111,835",-,-,"$111,835",100%
128,Lucky Grandma,"$102,000","$102,000",100%,-,-
129,First Cow,"$101,068","$101,068",100%,-,-
130,The Silencing,"$100,746","$100,746",100%,-,-
131,Antebellum,"$97,209",-,-,"$97,209",100%
132,First Lady,"$93,298","$93,298",100%,-,-
133,Miss Juneteenth,"$92,349","$92,349",100%,-,-
134,Young Ahmed Domestic,"$83,470","$21,291",25.5%,"$62,179",74.5%
135,Shirley,"$75,923",-,-,"$75,923",100%
136,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
137,How to Build a Girl,"$70,632","$70,632",100%,-,-
138,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
139,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
140,A Simple Wedding,"$54,415","$54,415",100%,-,-
141,Miss Fisher and the Crypt of Tears (special screenings),"$51,158","$51,032",99.8%,$126,0.2%
142,VHYes,"$47,037","$47,037",100%,-,-
143,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
144,House of Cardin,"$46,737",-,-,"$46,737",100%
145,Spree,"$43,062","$28,771",66.8%,"$14,291",33.2%
146,Juvenile Delinquents,"$39,455","$34,292",86.9%,"$5,163",13.1%
147,Three Christs,"$36,723","$36,723",100%,-,-
148,Tread,"$36,527","$36,527",100%,-,-
149,Waiting for Anya,"$36,404",-,-,"$36,404",100%
150,Max Winslow and the House of Secrets,"$31,250","$31,250",100%,-,-
151,After Parkland,"$30,444","$30,444",100%,-,-
152,Olympic Dreams,"$29,450","$29,450",100%,-,-
153,Buffaloed,"$29,118","$29,118",100%,-,-
154,Abe,"$28,657",-,-,"$28,657",100%
155,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
156,José,"$26,563","$26,563",100%,-,-
157,Unsubscribe,"$25,488","$25,488",100%,-,-
158,My Brothers' Crossing,"$25,357","$25,357",100%,-,-
159,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
160,Stage Mother,"$24,736",-,-,"$24,736",100%
161,Heart of Africa,"$24,139","$24,139",100%,-,-
162,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
163,Premature,"$23,071","$23,071",100%,-,-
164,L'Innocente,"$22,549","$22,549",100%,-,-
165,Never Too Late,"$21,915",-,-,"$21,915",100%
166,Lore,"$20,006","$20,006",100%,-,-
167,Sputnik,"$18,646","$18,646",100%,-,-
168,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
169,Made in Hong Kong,"$17,255","$17,255",100%,-,-
170,Advocate,"$16,942","$16,942",100%,-,-
171,The Bay of Silence,"$16,110","$1,941",12%,"$14,169",88%
172,Straight Up,"$16,080","$16,080",100%,-,-
173,American Deep State,"$15,269","$15,269",100%,-,-
174,"I Was at Home, But...","$14,078","$14,078",100%,-,-
175,Killer Raccoons! 2! Dark Christmas in the Dark!,"$12,116","$12,116",100%,-,-
176,The War with Grandpa,"$12,039",-,-,"$12,039",100%
177,The Grizzlies,"$11,604","$11,604",100%,-,-
178,Powerbomb,"$11,319","$11,319",100%,-,-
179,Lost in America,"$11,301","$11,301",100%,-,-
180,Centigrade,"$11,279","$11,279",100%,-,-
181,You Go to My Head,"$10,682","$10,682",100%,-,-
182,Foosballers,"$9,966","$9,966",100%,-,-
183,Guest Artist,"$9,573","$9,573",100%,-,-
184,Just One More Kiss,"$9,130","$9,130",100%,-,-
185,Inside the Rain,"$8,140","$8,140",100%,-,-
186,The Wave,"$8,101","$8,101",100%,-,-
187,I AM PATRICK,"$7,880",-,-,"$7,880",100%
188,Valley Girl,"$7,671",-,-,"$7,671",100%
189,What We Found,"$6,976","$6,976",100%,-,-
190,The Other Lamb,"$6,760","$6,024",89.1%,$736,10.9%
191,Human Capital,"$6,596","$6,596",100%,-,-
192,Afterward,"$6,477","$6,477",100%,-,-
193,Still Here,"$5,121","$5,121",100%,-,-
194,Sex and the Future,"$4,815","$4,815",100%,-,-
195,In the Life of Music,"$4,784","$4,784",100%,-,-
196,King's Gambit,"$3,816","$3,816",100%,-,-
197,The Roads Not Taken,"$3,518","$3,518",100%,-,-
198,Moondance,"$2,371","$2,371",100%,-,-
199,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
200,Goldie,"$2,302","$2,302",100%,-,-
201,Gul Makai,"$2,035",-,-,"$2,035",100%
202,The Fox Hunter,"$1,577","$1,577",100%,-,-
203,Hai Tang Hong,"$1,107","$1,107",100%,-,-
204,The Transcendents,"$1,090","$1,090",100%,-,-
205,Greater 2020 Re-release,$527,$527,100%,-,-
206,Spaceship Earth,$201,-,-,$201,100%
207,Savage,$175,-,-,$175,100%
